"Time Stamp","Close","High","Low","Open","Volume From","Volume To"
"2013-12-08 16:00:00","728.48","735","723.45","735","2.46","2035.9"
"2013-12-08 17:00:00","750.43","752.85","715.78","728.48","8.81","6622.95"
"2013-12-08 18:00:00","742.91","750.43","734.11","750.43","1.9","1643.57"
"2013-12-08 19:00:00","728.29","742.91","728.29","742.91","2.76","2124.51"
"2013-12-08 20:00:00","729.96","734.11","728.29","728.29","4.34","3442.97"
"2013-12-08 21:00:00","745","758.18","729.96","729.96","10.01","8157.41"
"2013-12-08 22:00:00","745.91","745.91","740","745","5.14","4021.7"
"2013-12-08 23:00:00","774","776.67","745.91","745.91","5.76","4786.62"
"2013-12-09","779","789.25","763.95","774","3.11","2736.48"
"2013-12-09 01:00:00","788.7","802.03","779","779","3.89","3394.64"
"2013-12-09 02:00:00","782.43","803.04","782.43","788.7","7.95","6727.4"
"2013-12-09 03:00:00","834.89","852.7","782.43","782.43","11.83","9759.69"
"2013-12-09 04:00:00","833.32","848.41","833.32","834.89","5.39","4963.25"
"2013-12-09 05:00:00","816.46","869.11","816.46","833.32","5.46","4771.99"
"2013-12-09 06:00:00","845","845","816.46","816.46","1.19","1156.3"
"2013-12-09 07:00:00","870.1","878.31","845","845","4.27","4055.91"
"2013-12-09 08:00:00","890","890","864.31","870.1","8.53","7607.8"
"2013-12-09 09:00:00","865.65","890","865.65","890","10.46","9521.71"
"2013-12-09 10:00:00","890","890","865.65","865.65","7.8","7019.44"
"2013-12-09 11:00:00","890","890","890","890","2.84","2549.75"
"2013-12-09 12:00:00","858.43","890","858.43","890","2.2","1994.12"
"2013-12-09 13:00:00","864.31","864.31","858.43","858.43","0.02656","22.95"
"2013-12-09 14:00:00","848.97","1052.4","848.97","1052.4","0.1943","164.95"
"2013-12-09 15:00:00","878.19","890","864.31","864.31","6.79","6341.1"
"2013-12-09 16:00:00","855.05","889.88","850","878.19","25.95","23997.69"
"2013-12-09 17:00:00","878.31","879.63","855.05","855.05","41.45","39359.69"
"2013-12-09 18:00:00","878.19","890","878.19","878.31","45.79","43677.06"
"2013-12-09 19:00:00","875.9","878.31","864.31","878.19","41.59","40085.54"
"2013-12-09 20:00:00","859.88","914.3","852.55","875.9","52.4","48634.7"
"2013-12-09 21:00:00","857.45","865","857.45","859.88","42.25","40434.34"
"2013-12-09 22:00:00","878.31","885.39","861.99","857.45","36.95","35299.44"
"2013-12-09 23:00:00","885.56","885.56","864.31","878.31","19.55","19128.13"
"2013-12-10","899.73","899.73","885.39","885.56","13.86","13177.91"
"2013-12-10 01:00:00","938.3","938.3","899.73","899.73","26.28","25184.91"
"2013-12-10 02:00:00","921.79","946","921.79","938.3","20.47","19071.15"
"2013-12-10 03:00:00","920","939.93","920","921.79","10.43","10512.67"
"2013-12-10 04:00:00","938","938","920","920","5.1","5110.03"
"2013-12-10 05:00:00","912.17","938","899.44","938","2.02","2051.5"
"2013-12-10 06:00:00","918","918","910","912.17","2.7","3018.18"
"2013-12-10 07:00:00","919","930","918","918","11.06","9971.39"
"2013-12-10 08:00:00","920.11","928.72","919","919","6.56","6652.95"
"2013-12-10 09:00:00","932","937","920.11","920.11","1.47","1530.13"
"2013-12-10 10:00:00","937.1","937.1","932","932","1.93","2021"
"2013-12-10 11:00:00","919","937.1","919","937.1","1.61","1516.39"
"2013-12-10 12:00:00","925","925","919","919","0.3385","311.59"
"2013-12-10 13:00:00","919","925","919","925","1.03","989.97"
"2013-12-10 14:00:00","925","925","912.56","919","4.49","4166.7"
