"Time Stamp","Close","High","Low","Open","Volume From","Volume To"
"2017-12-17 08:00:00","718.02","718.7","713.01","718.62","16727.39","11964624.64"
"2017-12-17 09:00:00","718.06","720.27","717.32","717.96","13913.04","9978577.09"
"2017-12-17 10:00:00","716.48","718.17","712.38","718.06","13155.13","9379595.71"
"2017-12-17 11:00:00","718.75","720.62","715.48","716.45","9974.26","7152761.14"
"2017-12-17 12:00:00","717.43","719.41","716.53","718.75","10624.7","7616621.44"
"2017-12-17 13:00:00","711.81","717.88","711.49","717.43","11504.48","8217724.21"
"2017-12-17 14:00:00","714.92","715.08","710.09","711.73","12345.81","8785133.02"
"2017-12-17 15:00:00","713.47","715.61","712.75","714.92","17372.22","12355238.52"
"2017-12-17 16:00:00","715","716.73","712.82","713.29","18844.29","13429539.68"
"2017-12-17 17:00:00","709.18","716.14","706.35","715.04","29567.78","21013845.23"
"2017-12-17 18:00:00","712.71","714.13","709.01","709.19","16116.7","11467869.5"
"2017-12-17 19:00:00","727.96","728.28","712.62","712.69","35690.62","25760879.72"
"2017-12-17 20:00:00","722.4","731.06","718.88","727.71","36097.74","26197809.62"
"2017-12-17 21:00:00","723.6","724.64","721.18","722.49","15517.31","11242563.36"
"2017-12-17 22:00:00","731.59","731.86","722.85","723.6","21888.79","15964553.49"
"2017-12-17 23:00:00","724","732.45","720.85","731.59","28397.33","20675125.7"
"2017-12-18","717.71","724.18","713.89","724","34232.04","24651328.62"
"2017-12-18 01:00:00","695.25","719.62","695.21","717.73","62033.85","43932973.05"
"2017-12-18 02:00:00","699.91","701.98","679.8","694.79","87726.93","60428204.08"
"2017-12-18 03:00:00","696.15","708.61","694.31","699.84","29423.38","20650763.47"
"2017-12-18 04:00:00","709.97","710.43","695.67","696.04","23699.17","16693185.42"
"2017-12-18 05:00:00","707.64","712.79","707.5","709.97","15874.27","11271488.51"
"2017-12-18 06:00:00","709.71","710.06","706.48","707.64","12148.7","8596640.28"
"2017-12-18 07:00:00","710.96","710.99","708.99","709.71","10927.86","7766014.22"
"2017-12-18 08:00:00","706.06","712.08","705.26","710.96","21741.5","15387926.74"
"2017-12-18 09:00:00","715.57","715.69","706.14","706.14","18193.96","12938814.87"
"2017-12-18 10:00:00","716.02","717.09","711.16","715.57","14226.18","10156140.96"
"2017-12-18 11:00:00","726.21","729.28","715.25","715.98","35399.75","25544583.4"
"2017-12-18 12:00:00","740.36","749.25","726.19","726.19","70191.47","51909476.47"
"2017-12-18 13:00:00","730.69","740.52","728.26","740.36","37065.8","27223685.25"
"2017-12-18 14:00:00","723.26","735.78","721.38","730.62","35151.04","25539841.8"
"2017-12-18 15:00:00","722.26","723.38","708.32","723.26","42315.55","30269939.04"
"2017-12-18 16:00:00","730.16","733.06","721.58","722.26","37968.58","27606154.71"
"2017-12-18 17:00:00","736.21","738.34","729.23","730.17","33625.82","24652630.11"
"2017-12-18 18:00:00","735.57","737.03","733.38","736.45","21480.2","15811737.42"
"2017-12-18 19:00:00","755.02","763","731.38","735.54","80176.87","60233668.76"
"2017-12-18 20:00:00","770.66","773.09","754.95","755.02","63082.17","48382973.67"
"2017-12-18 21:00:00","770.5","788.32","766.96","770.66","94775.83","73767872.06"
"2017-12-18 22:00:00","794.12","794.13","768.35","770.5","51180.61","40045395.6"
"2017-12-18 23:00:00","785.58","799.37","784.78","794.1","68556.03","54390336.72"
"2017-12-19","785.99","792.8","777.18","785.17","49916.43","39183290.41"
"2017-12-19 01:00:00","780.55","786.77","767.59","786.17","43255.23","33462662.02"
"2017-12-19 02:00:00","796.05","796.77","780.55","780.55","33534.06","26519891.88"
"2017-12-19 03:00:00","814.7","816.94","794.78","796.05","91049.49","73468797.3"
"2017-12-19 04:00:00","811.55","814.85","804.69","814.7","45208.17","36567578.51"
"2017-12-19 05:00:00","817.95","823.98","811.39","811.55","53140.68","43581756.22"
"2017-12-19 06:00:00","830.86","831.23","812.74","817.95","51251.35","42098047"
"2017-12-19 07:00:00","837.27","837.3","827.08","830.95","54238.96","45035359.59"
"2017-12-19 08:00:00","838.41","840.85","832.44","837.27","40252.47","33747056.85"
"2017-12-19 09:00:00","857.37","857.5","837.3","838.47","45587.21","38663665.1"
"2017-12-19 10:00:00","852.57","868.89","834.82","857.47","78327","66981637.6"
"2017-12-19 11:00:00","813.48","852.83","793.98","852.57","131142.28","106314057.88"
"2017-12-19 12:00:00","810.32","827.6","795.07","814.25","74175.97","60088262.61"
"2017-12-19 13:00:00","818.31","826.85","807.91","810.32","31917.52","26084236.33"
"2017-12-19 14:00:00","842.93","842.96","818.16","818.24","46173.37","38536640.97"
"2017-12-19 15:00:00","828.71","843.58","822.03","842.93","57435.41","47907364.13"
"2017-12-19 16:00:00","824.54","829.25","801.81","828.71","61832.63","50467831.9"
"2017-12-19 17:00:00","833.01","834.18","821.86","824.46","35162.52","29108673.55"
"2017-12-19 18:00:00","832.9","837.54","830.91","833.01","33205.06","27728337.25"
"2017-12-19 19:00:00","840.41","843.74","828.94","832.61","33972.31","28479178.02"
"2017-12-19 20:00:00","834.83","841.16","830.97","840.44","32088.29","26851106.6"
"2017-12-19 21:00:00","820.8","837.23","818.74","834.83","38073.46","31586007.69"
"2017-12-19 22:00:00","778.43","821.69","774.46","820.8","116215.62","91818302.96"
"2017-12-19 23:00:00","799.65","806.36","778.17","778.43","71966.22","57408334.91"
"2017-12-20","812.5","819.03","796.8","799.46","39801.85","32184048.98"
"2017-12-20 01:00:00","765.8","813.47","713.75","812.5","166421.97","126097842.08"
"2017-12-20 02:00:00","764.97","768.92","735.92","765.79","115021.41","87000043.61"
"2017-12-20 03:00:00","799.11","799.6","764.78","764.97","80749.6","63619452.42"
"2017-12-20 04:00:00","788.75","800.52","786.67","799.02","42462.16","33650785"
"2017-12-20 05:00:00","787.46","789.79","779.71","788.74","42248.64","33279092.85"
"2017-12-20 06:00:00","776.62","787.87","775.45","787.87","25783.31","20148691.45"
"2017-12-20 07:00:00","768.4","777.43","752.37","776.37","54779.84","41847647.15"
"2017-12-20 08:00:00","771.94","777.44","761.2","768.06","31924.79","24604873.39"
"2017-12-20 09:00:00","799.99","800.01","770.74","771.94","33833.85","26666887.29"
"2017-12-20 10:00:00","798.57","801.4","793.08","799.99","33351.42","26358573.92"
"2017-12-20 11:00:00","807.16","813.62","798.38","798.57","33712.77","27106159.14"
"2017-12-20 12:00:00","813.93","816.38","802.25","807.29","25616.24","20680164.85"
"2017-12-20 13:00:00","826.84","830.2","813.93","813.93","32660.31","26850716.02"
"2017-12-20 14:00:00","799.52","827.58","794.43","826.44","40970.52","33201341.23"
"2017-12-20 15:00:00","810.53","812.38","798.28","799.52","32876.34","26470948.21"
"2017-12-20 16:00:00","791.73","812.88","791.47","810.53","37990.26","30602815.6"
"2017-12-20 17:00:00","783.04","792.28","772.47","791.71","54955.94","42860690.77"
"2017-12-20 18:00:00","804.74","808.02","782.75","782.91","40183.95","32121396.79"
"2017-12-20 19:00:00","806.25","807.16","795.52","804.81","23761.81","19092300.08"
"2017-12-20 20:00:00","806.93","807.8","794.1","806.25","34552.87","27712513.73"
"2017-12-20 21:00:00","807.2","812.08","804.91","806.93","29615.79","23953232.16"
"2017-12-20 22:00:00","788.07","807.52","782.25","807.08","41806.93","33070423.25"
"2017-12-20 23:00:00","786.88","788.48","768.78","788.07","56724.52","44145296.65"
"2017-12-21","799.17","799.79","780.13","786.88","23821.45","18848500.98"
"2017-12-21 01:00:00","802.88","803.55","790.54","799.17","30031.55","23920799.39"
"2017-12-21 02:00:00","799.78","803.3","793.04","802.91","29146.11","23279890.56"
"2017-12-21 03:00:00","796.91","800.46","794.13","799.67","24336.94","19411815.11"
"2017-12-21 04:00:00","814.05","814.44","791.68","796.91","30517.79","24486962.31"
"2017-12-21 05:00:00","831.45","833.06","811.31","814.05","59615.81","48988370.13"
"2017-12-21 06:00:00","825.11","840.55","823.26","831.42","52727.7","43897758.79"
"2017-12-21 07:00:00","837.78","838.43","823.78","825.11","25284.11","21051339.63"
"2017-12-21 08:00:00","830.6","839.77","825.2","837.91","29737.89","24715111.05"
"2017-12-21 09:00:00","827.9","832.1","821.79","830.16","28209.05","23228497.7"
"2017-12-21 10:00:00","830.72","833.89","826.63","827.9","25348.46","21066147.94"
"2017-12-21 11:00:00","830.17","831.07","821.89","830.72","18298.17","15136284.84"
"2017-12-21 12:00:00","831.38","833.26","825.2","830.17","19780.81","16416756.22"
"2017-12-21 13:00:00","835.11","837.44","830.79","831.38","27532.9","22963801.39"
"2017-12-21 14:00:00","813.52","834.94","810.01","834.85","33545.62","27622931.75"
"2017-12-21 15:00:00","799.9","819.15","799.81","813.52","39808.54","32235521.48"
"2017-12-21 16:00:00","771.07","800.15","762.11","799.76","107544.75","84063821.67"
"2017-12-21 17:00:00","785.15","789.59","762.02","771.07","71095.62","55232105.92"
"2017-12-21 18:00:00","775.11","787.02","765.75","785.12","56642.15","44118690.76"
"2017-12-21 19:00:00","786.91","792.15","771.55","775.11","42593.84","33401909.79"
"2017-12-21 20:00:00","777.26","786.91","771.02","786.87","35269.95","27448535.73"
"2017-12-21 21:00:00","764.23","780.23","759.65","776.95","33572.18","25855505.87"
"2017-12-21 22:00:00","780.9","783.42","762.45","764.23","33916.14","26197497.88"
"2017-12-21 23:00:00","786.19","789.17","778.99","780.83","25655.39","20137908.68"
"2017-12-22","789.39","789.75","782.4","785.96","26159.93","20601920.93"
"2017-12-22 01:00:00","770.27","794.16","770.27","789.39","34909.26","27350788.68"
"2017-12-22 02:00:00","745.69","772","738.61","770.24","68278.27","51544466.16"
"2017-12-22 03:00:00","712.66","755.36","699.41","746.37","95884.6","70107332.48"
"2017-12-22 04:00:00","680.19","717.8","641.64","712.47","223234.02","150037692.87"
"2017-12-22 05:00:00","713.1","723.51","671.61","680.14","144368.2","101671900.45"
"2017-12-22 06:00:00","689.11","719.87","680.68","712.92","69959.3","48600310.35"
"2017-12-22 07:00:00","659.07","697.37","658.35","689","62586.48","42470954.49"
"2017-12-22 08:00:00","625.3","659.56","592.21","659.39","174606.65","107639527.11"
"2017-12-22 09:00:00","639.09","646.93","611.5","625.3","79685.82","49911943.13"
"2017-12-22 10:00:00","672.43","686.98","639.06","639.09","71401.5","47504034.76"
"2017-12-22 11:00:00","674.46","701.62","671.79","672.43","69190.74","47390037.86"
"2017-12-22 12:00:00","664.67","674.87","648.17","674.46","64698.05","42432852.5"
"2017-12-22 13:00:00","647.27","670.54","643.76","664.67","38227.61","25223391.55"
"2017-12-22 14:00:00","565.59","648.05","562.39","647.27","159740.34","94994746.09"
"2017-12-22 15:00:00","561.55","568.35","490.28","565.59","287657.19","153577928.95"
"2017-12-22 16:00:00","631.68","646.87","553.6","562.49","171500.34","105558230.21"
"2017-12-22 17:00:00","622.5","632.18","584.64","631.68","100840.54","61860588.86"
"2017-12-22 18:00:00","627.85","637.13","612.07","622.51","53868.83","33801425.34"
"2017-12-22 19:00:00","645.29","646.33","610.14","627.82","64537.95","40814739.36"
"2017-12-22 20:00:00","638.56","652.27","623.52","645.29","65367.7","41813390.27"
"2017-12-22 21:00:00","675.46","675.82","636.34","638.56","75170.83","49636927.16"
"2017-12-22 22:00:00","671.24","684.66","666.52","675.46","72392.15","49087162.04"
"2017-12-22 23:00:00","705.69","709.75","670.94","671.26","53374.39","36939176.6"
"2017-12-23","657.83","705.93","635.94","705.66","82680.83","55715544.13"
"2017-12-23 01:00:00","667.26","682.4","651.1","657.81","44734.2","29858052.25"
"2017-12-23 02:00:00","678.67","680.1","665.57","667.17","18235.64","12334843.25"
"2017-12-23 03:00:00","684.47","698.06","678.02","678.55","23494.89","16144360.05"
"2017-12-23 04:00:00","708.35","708.43","678.11","685.33","30479.29","21188394.44"
"2017-12-23 05:00:00","698.36","710.95","696.62","708.34","32761.75","23002952.15"
"2017-12-23 06:00:00","671.8","702.54","668.69","698.36","34227.18","23500691.03"
"2017-12-23 07:00:00","677.25","677.61","652.17","671.8","35661.37","23671267.71"
"2017-12-23 08:00:00","692.32","696.11","677.31","678.07","21390.71","14707041.53"
"2017-12-23 09:00:00","699.6","703.04","691.34","692.32","20628.61","14338847.11"
"2017-12-23 10:00:00","704.13","704.32","688.86","699.66","17118.12","11859792.31"
"2017-12-23 11:00:00","710.53","710.61","699.15","704.13","16240.15","11422350.95"
"2017-12-23 12:00:00","728.09","728.39","710.53","710.53","30184.64","21580341.45"
"2017-12-23 13:00:00","715.69","728.51","707.72","728.09","32997.89","23635841.88"
"2017-12-23 14:00:00","721.97","722.52","711.76","715.12","28782.08","20502659.38"
