"buy.day","buy.time","sell.day","sell.time"
"Wednesday","5","Tuesday","7"
"Wednesday","3","Tuesday","7"
"Wednesday","2","Tuesday","7"
"Wednesday","5","Tuesday","4"
"Wednesday","3","Tuesday","4"
"Wednesday","5","Tuesday","9"
"Wednesday","3","Tuesday","9"
"Wednesday","2","Tuesday","4"
"Wednesday","2","Tuesday","9"
"Wednesday","5","Monday","8"
"Wednesday","3","Monday","8"
"Wednesday","14","Tuesday","7"
"Wednesday","8","Tuesday","7"
"Wednesday","2","Monday","8"
"Wednesday","7","Tuesday","7"
"Wednesday","12","Tuesday","7"
"Wednesday","9","Tuesday","7"
"Wednesday","5","Tuesday","8"
"Wednesday","3","Tuesday","8"
"Wednesday","5","Tuesday","1"
"Wednesday","3","Tuesday","1"
"Wednesday","5","Tuesday","5"
"Wednesday","5","Monday","7"
"Wednesday","3","Tuesday","5"
"Wednesday","3","Monday","7"
"Wednesday","14","Tuesday","4"
"Wednesday","5","Tuesday","6"
"Wednesday","14","Tuesday","9"
"Wednesday","3","Tuesday","6"
"Wednesday","2","Tuesday","8"
"Wednesday","5","Tuesday","12"
"Wednesday","5","Tuesday","16"
"Wednesday","5","Monday","6"
"Wednesday","3","Tuesday","12"
"Wednesday","13","Tuesday","7"
"Wednesday","3","Tuesday","16"
"Wednesday","1","Tuesday","7"
"Wednesday","3","Monday","6"
"Wednesday","2","Tuesday","1"
"Wednesday","2","Tuesday","5"
"Wednesday","2","Monday","7"
"Wednesday","5","Monday","16"
"Wednesday","8","Tuesday","4"
"Wednesday","3","Monday","16"
"Wednesday","8","Tuesday","9"
"Wednesday","10","Tuesday","7"
"Wednesday","5","Tuesday","3"
"Wednesday","7","Tuesday","4"
"Wednesday","5","Tuesday","2"
"Wednesday","5","Tuesday","13"
"Wednesday","2","Tuesday","6"
"Wednesday","3","Tuesday","3"
"Wednesday","7","Tuesday","9"
"Wednesday","3","Tuesday","2"
"Wednesday","3","Tuesday","13"
"Wednesday","2","Tuesday","12"
"Wednesday","12","Tuesday","4"
"Wednesday","6","Tuesday","7"
"Wednesday","2","Tuesday","16"
"Wednesday","14","Monday","8"
"Wednesday","9","Tuesday","4"
"Wednesday","2","Monday","6"
"Wednesday","4","Tuesday","7"
"Wednesday","12","Tuesday","9"
"Wednesday","9","Tuesday","9"
"Wednesday","5","Monday","17"
"Wednesday","3","Monday","17"
"Wednesday","2","Monday","16"
"Wednesday","5","Tuesday","11"
"Wednesday","11","Tuesday","7"
"Wednesday","3","Tuesday","11"
"Wednesday","8","Monday","8"
"Wednesday","NA","Tuesday","7"
"Wednesday","2","Tuesday","3"
"Wednesday","2","Tuesday","2"
"Wednesday","2","Tuesday","13"
"Wednesday","5","Tuesday","14"
"Wednesday","3","Tuesday","14"
"Wednesday","7","Monday","8"
"Wednesday","2","Monday","17"
"Wednesday","12","Monday","8"
"Wednesday","9","Monday","8"
"Wednesday","5","Tuesday","15"
"Wednesday","3","Tuesday","15"
"Wednesday","5","Sunday","4"
"Wednesday","13","Tuesday","4"
"Wednesday","1","Tuesday","4"
"Wednesday","2","Tuesday","11"
"Wednesday","3","Sunday","4"
"Wednesday","13","Tuesday","9"
"Wednesday","1","Tuesday","9"
"Wednesday","14","Tuesday","8"
"Wednesday","5","Tuesday","20"
"Wednesday","5","Tuesday","10"
"Wednesday","2","Tuesday","14"
"Wednesday","3","Tuesday","20"
"Wednesday","3","Tuesday","10"
"Wednesday","5","Monday","5"
"Wednesday","3","Monday","5"
"Wednesday","14","Tuesday","1"
